,street_segment,graffiti_types,observer_id
275,141048,Tag,3
276,141048,Tag,3
277,141048,Tag,3
278,141064,Tag,3
279,141064,Tag,3
280,358669,Others,3
281,141048,Tag,3
282,358669,Tag,3
283,610958,Others,3
284,610958,Others,3
285,610958,Others,3
286,610958,Others,3
287,610958,Others,3
288,610958,Tag,3
289,358669,Tag,3
290,141124,Tag,133
291,141124,SITS,133
292,141124,Tag,133
293,141124,Tag,133
294,21738,Tag,133
295,21738,Tag,133
296,21738,Tag,133
297,21738,Tag,133
298,21738,SITS,133
299,265582,SITS,13
300,265582,SITS,13
301,265582,SITS,13
302,265582,Tag,13
303,265582,SITS,13
304,265582,Tag,13
305,265582,Tag,13
306,265582,SITS,13
307,265582,Tag,13
308,265582,Tag,13
309,265582,Tag,13
310,265582,SITS,13
311,265582,SITS,13
312,265582,Tag,13
313,265582,Tag,13
314,265582,Tag,13
315,265582,SITS,13
316,265582,Tag,13
317,265582,Others,13
318,265582,Others,13
319,265582,Tag,13
320,265582,Tag,13
321,265582,Tag,13
322,265582,Tag,13
323,265582,Others,13
324,265582,SITS,13
325,265582,Tag,13
326,265582,Tag,13
327,265582,Tag,13
328,265582,Tag,13
329,265582,Tag,13
330,265582,Tag,13
331,265582,Others,13
332,33914,Tag,13
333,33914,SITS,13
334,33914,Tag,13
335,33914,Tag,13
336,33914,Tag,13
337,33914,Tag,13
338,33914,Others,13
339,33914,Others,13
340,4011,Tag,13
341,4011,Tag,13
342,3966,Tag,13
343,3966,Tag,13
344,33856,Tag,13
345,33856,Tag,13
346,3947,Tag,13
347,3947,Tag,13
348,3947,Others,13
349,3795,Tag,13
350,3795,Tag,13
351,3795,Others,13
352,3795,Others,13
353,3795,Tag,13
354,3795,Tag,13
355,3795,SITS,13
356,3795,Tag,13
357,3795,Tag,13
358,3795,Tag,13
359,3795,SITS,13
360,3795,Tag,13
361,3795,Tag,13
362,3795,Tag,13
363,3795,Tag,13
364,3795,Tag,13
365,3795,Tag,13
366,3795,Tag,13
367,3869,SITS,13
368,3869,Tag,13
369,3869,SITS,13
370,3869,SITS,13
371,3869,SITS,13
372,3869,SITS,13
373,3869,SITS,13
374,3869,Tag,13
375,3869,Tag,13
376,3869,SITS,13
377,3869,Tag,13
378,3869,Tag,13
379,3869,Tag,13
380,3869,Tag,13
381,3869,Tag,13
382,3869,Tag,13
383,3869,Tag,13
384,3869,Tag,13
385,3869,SITS,13
386,3869,SITS,13
387,3791,Tag,13
388,3791,Tag,13
389,3791,Tag,13
390,3791,Tag,13
391,3791,Tag,13
392,3791,SITS,13
393,3791,Tag,13
394,3791,Tag,13
395,3791,Tag,13
396,3791,Tag,13
397,3791,Tag,13
398,3791,Tag,13
399,3791,Tag,13
400,3791,Tag,13
401,3791,SITS,13
402,3791,Tag,13
403,3791,Tag,13
404,3791,Tag,13
405,3791,Tag,13
406,3791,Tag,13
407,3791,Tag,13
408,3791,SITS,13
409,3791,Tag,13
410,3791,Tag,13
411,3791,Tag,13
412,3791,Tag,13
413,3791,SITS,13
414,3791,Tag,13
415,3791,SITS,13
416,3791,SITS,13
417,3791,Tag,13
418,3791,SITS,13
419,3791,Tag,13
420,3791,Tag,13
421,3791,Tag,13
422,3791,Tag,13
423,11490,Tag,13
424,11490,SITS,13
425,11490,SITS,13
426,11490,SITS,13
427,11490,Tag,13
428,11490,Tag,13
429,11490,SITS,13
430,11490,Tag,13
431,11490,SITS,13
432,11490,Tag,13
433,11490,Tag,13
434,11490,Tag,13
435,11490,Tag,13
436,11490,SITS,13
437,11490,SITS,13
438,11490,Tag,13
439,11490,SITS,13
440,11490,Tag,13
441,11490,Tag,13
442,11490,Tag,13
443,11490,SITS,13
444,11490,SITS,13
445,11490,Tag,13
446,11490,Tag,13
447,11490,Masterpiece,13
448,11490,Tag,13
449,11490,Tag,13
450,11490,SITS,13
451,11490,Tag,13
452,11490,Tag,13
453,11490,Tag,13
454,11490,Tag,13
455,11490,Tag,13
456,11490,Tag,13
457,11490,Tag,13
458,11490,Tag,13
459,11490,Tag,13
460,11490,SITS,13
461,11490,Tag,13
462,11490,Tag,13
463,11490,SITS,13
464,11490,Masterpiece,13
465,11490,Tag,13
466,11490,Tag,13
467,11490,Tag,13
468,11490,Tag,13
469,11490,Tag,13
470,11490,SITS,13
471,11490,Others,13
472,11490,Tag,13
473,11490,Tag,13
474,11490,Tag,13
475,11490,Tag,13
476,11490,Tag,13
477,11490,Tag,13
478,11490,Tag,13
479,11490,Others,13
480,11490,Tag,13
481,11490,Tag,13
482,11490,SITS,13
483,11490,SITS,13
484,90557,Tag,13
485,90557,Tag,13
486,90557,SITS,13
487,90557,Tag,13
488,90557,Tag,13
489,90557,Tag,13
490,90557,SITS,13
491,90557,Tag,13
492,90557,Tag,13
493,90557,Tag,13
494,90557,Tag,13
495,90557,Tag,13
496,90557,Tag,13
497,90557,Tag,13
498,90557,Tag,13
499,90557,SITS,13
500,90557,Others,13
501,90557,Others,13
502,90557,Others,13
503,90557,Tag,13
504,90557,Tag,13
505,90557,Tag,13
506,90557,SITS,13
507,90557,Tag,13
508,90557,SITS,13
509,90557,Tag,13
510,90557,Others,13
511,90557,SITS,13
512,90557,Tag,13
513,90557,Tag,13
514,90557,Tag,13
515,90557,SITS,13
516,90557,Tag,13
517,90557,Tag,13
518,90557,Tag,13
519,90557,Tag,13
520,90557,Tag,13
521,3944,Tag,13
522,3944,Tag,13
523,3944,Others,13
524,3944,Others,13
525,3944,Others,13
526,3944,Tag,13
527,3944,Others,13
528,3944,Tag,13
529,3944,Tag,13
530,3944,Tag,13
531,3944,Tag,13
532,3944,SITS,13
533,3944,Others,13
534,3944,Tag,13
535,3944,SITS,13
536,3944,Tag,13
537,3944,Others,13
538,3944,Others,13
539,3944,Others,13
540,3944,SITS,13
541,3944,Tag,13
542,3944,Tag,13
543,3944,Tag,13
544,3944,Tag,13
545,33914,Tag,13
546,33914,Tag,13
547,265582,Others,13
548,3791,Tag,13
549,3988,SITS,13
550,3988,Tag,13
551,3988,Tag,13
552,3988,Tag,13
553,3988,Tag,13
554,3988,Tag,13
555,3988,Tag,13
556,3988,Others,13
557,3988,Tag,13
558,3988,Tag,13
559,3869,Tag,13
560,3869,Tag,13
561,141266,SITS,99
562,141266,SITS,99
563,141266,Others,99
564,141266,Others,99
565,141266,Others,99
566,141266,Others,99
567,141266,SITS,99
568,141266,Others,99
569,141266,Others,99
570,141266,Others,99
571,141498,Others,99
572,141498,Others,99
573,141498,Tag,99
574,141498,Tag,99
575,141498,Others,99
576,141498,Others,99
577,141498,Others,99
578,141420,Tag,99
579,141458,SITS,99
580,141458,SITS,99
581,141458,SITS,99
582,141458,SITS,99
583,141458,SITS,99
584,141490,SITS,99
585,141334,Others,99
586,141539,Tag,99
587,141539,Tag,99
588,141539,Others,99
589,141519,Tag,99
590,141367,SITS,99
591,141367,Others,99
592,141199,Others,99
593,141199,Others,99
594,141199,SITS,99
595,141199,Others,99
596,141199,SITS,99
597,141199,SITS,99
598,141199,SITS,99
599,141199,SITS,99
600,141199,SITS,99
601,141199,SITS,99
602,141199,SITS,99
603,141199,SITS,99
604,141199,SITS,99
605,141199,SITS,99
606,141199,SITS,99
607,141199,SITS,99
608,141199,SITS,99
609,141199,SITS,99
610,141199,SITS,99
611,141439,Tag,99
612,141198,Tag,99
613,141198,Tag,99
614,627718,SITS,99
615,627718,SITS,99
616,627718,SITS,99
617,141191,SITS,99
618,141320,Others,99
619,141320,Others,99
620,141320,Others,99
621,141320,Others,99
622,141320,Others,99
623,141320,Others,99
624,141320,Others,99
625,141320,Others,99
626,141320,Others,99
627,141320,Others,99
628,141320,Others,99
629,141320,Others,99
630,141320,Others,99
631,141320,Others,99
632,141320,Others,99
633,141320,Tag,99
634,141320,Tag,99
635,141320,Tag,99
636,141320,Tag,99
637,141266,Others,99
638,141266,Others,99
639,141266,Others,99
640,141266,Others,99
641,141498,SITS,99
642,141197,Others,99
643,141334,Others,99
644,141539,Others,99
645,141539,Others,99
646,141539,Others,99
647,141539,Others,99
648,141539,Others,99
649,141539,Others,99
650,141539,Others,99
651,141539,Others,99
652,141539,Others,99
653,141539,Others,99
654,141539,Others,99
655,141539,Others,99
656,141539,Others,99
657,141539,Others,99
658,141539,Others,99
659,141539,Others,99
660,141539,Others,99
661,141539,Others,99
662,141539,Others,99
663,141539,Others,99
664,141539,Others,99
665,141539,Others,99
666,141367,Others,99
667,141367,Others,99
668,141367,Others,99
669,141199,Tag,99
670,141199,Tag,99
671,141199,Tag,99
672,141439,Others,99
673,141198,Tag,99
674,627718,Others,99
675,627718,Others,99
676,141191,Others,99
677,141191,Others,99
678,141191,Others,99
679,141191,Others,99
680,141320,Others,99
681,141498,SITS,99
682,141498,Others,99
683,141334,SITS,99
684,141334,SITS,99
685,141334,SITS,99
686,141334,SITS,99
687,141191,SITS,99
688,141191,SITS,99
689,140899,Tag,14
690,140899,Tag,14
691,610987,Tag,14
692,141097,Tag,14
693,141097,Tag,14
694,141097,Tag,14
695,141097,Tag,14
696,141097,Tag,14
697,140920,SITS,14
698,140920,Tag,14
699,140920,Tag,14
700,611116,Tag,14
701,611116,Tag,14
702,611116,SITS,14
703,611116,Tag,14
704,611116,Tag,14
705,611116,Tag,14
706,611116,Tag,14
707,611116,Tag,14
708,611116,Tag,14
709,611116,SITS,14
710,611116,Tag,14
711,611116,Tag,14
712,611116,Tag,14
713,611116,Tag,14
714,611116,SITS,14
715,611116,Tag,14
716,611116,Tag,14
717,611116,Tag,14
718,611116,Tag,14
719,611116,Tag,14
720,611116,Tag,14
721,611116,SITS,14
722,611079,Tag,14
723,611079,Tag,14
724,611079,Tag,14
725,611079,Tag,14
726,141027,Others,14
727,141027,Masterpiece,14
728,611108,Tag,14
729,611108,Tag,14
730,611108,Tag,14
731,611108,Tag,14
732,611108,Tag,14
733,611108,Tag,14
734,141086,SITS,14
735,141086,SITS,14
736,141086,SITS,14
737,141086,SITS,14
738,141086,Tag,14
739,141086,SITS,14
740,141086,Tag,14
741,141086,Tag,14
742,141086,Tag,14
743,141086,Tag,14
744,141086,Tag,14
745,141086,Tag,14
746,141086,Tag,14
747,141086,Tag,14
748,141086,Tag,14
749,141086,Tag,14
750,141086,Tag,14
751,141086,Tag,14
752,141086,Tag,14
753,141086,Tag,14
754,141086,Tag,14
755,141086,Tag,14
756,141086,SITS,14
757,141086,SITS,14
758,141086,Tag,14
759,141086,Tag,14
760,141086,Tag,14
761,141086,Tag,14
762,141086,Tag,14
763,141086,Tag,14
764,141086,Tag,14
765,141086,Tag,14
766,141086,Tag,14
767,141086,Tag,14
768,141086,SITS,14
769,358687,Tag,14
770,358687,Tag,14
771,358687,Tag,14
772,358687,Tag,14
773,358687,Tag,14
774,358687,Tag,14
775,358687,Tag,14
776,358687,Tag,14
777,358687,Tag,14
778,358687,Tag,14
779,358687,Tag,14
780,358687,Tag,14
781,358687,Tag,14
782,358687,Tag,14
783,358687,Tag,14
784,358687,Tag,14
785,358687,Tag,14
786,358687,Tag,14
787,358687,Tag,14
788,358687,Tag,14
789,358687,Tag,14
790,358687,Tag,14
791,358687,Tag,14
792,358687,Tag,14
793,358687,SITS,14
794,358687,SITS,14
795,358687,Tag,14
796,358687,Tag,14
797,358687,Tag,14
798,358687,Tag,14
799,358687,Tag,14
800,358687,Tag,14
801,358687,Tag,14
802,358687,Tag,14
803,358687,Tag,14
804,358687,SITS,14
805,358687,Tag,14
806,358687,Tag,14
807,358687,Tag,14
808,358687,Tag,14
809,358687,Tag,14
810,358687,Tag,14
811,358687,Tag,14
812,358687,Tag,14
813,358687,Tag,14
814,358687,Tag,14
815,358687,Tag,14
816,358687,Tag,14
817,358687,Tag,14
818,358687,Tag,14
819,358687,Tag,14
820,358687,Tag,14
821,358687,SITS,14
822,358687,Tag,14
823,358687,Tag,14
824,358687,Tag,14
825,358687,Tag,14
826,358687,Tag,14
827,358687,Tag,14
828,358687,Tag,14
829,358687,Tag,14
830,358687,Tag,14
831,358687,SITS,14
832,358687,Tag,14
833,358687,Tag,14
834,358687,Tag,14
835,358687,Tag,14
836,358687,Tag,14
837,358687,Tag,14
838,358687,Tag,14
839,140803,Tag,14
840,140714,Tag,14
841,140714,Tag,14
842,140714,SITS,14
843,140714,Tag,14
844,140714,Tag,14
845,140714,Tag,14
846,359267,Tag,14
847,359267,Tag,14
848,359267,Tag,14
849,359267,Tag,14
850,140706,Tag,14
851,358686,SITS,14
852,610987,Tag,14
853,140901,Tag,14
854,140901,Tag,14
855,140901,Tag,14
856,141097,Tag,14
857,141097,Tag,14
858,611116,Tag,14
859,611116,SITS,14
860,611116,Tag,14
861,611079,Tag,14
862,141027,Tag,14
863,141027,SITS,14
864,141027,SITS,14
865,141086,Tag,14
866,141086,Tag,14
867,141086,Tag,14
868,141086,Tag,14
869,141086,Tag,14
